date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-10-19 00:00:00,26.8,26.5,28.5,2,,,5.1,,1011.7,
2023-10-20 00:00:00,28.3,25.6,32.4,8.1,,,5.7,,1011.7,
2023-10-21 00:00:00,26.9,25.3,28.2,4.1,,,5.1,,1012.3,
2023-10-22 00:00:00,27.6,25.6,31.1,0,,,5.9,,1012.6,
2023-10-23 00:00:00,27,25.9,29.4,1,,,4.3,,1012.1,
2023-10-24 00:00:00,27.6,24.7,31.1,0.5,,,4.8,,1011.8,
2023-10-25 00:00:00,29.1,24.8,33.1,17.5,,,6.8,,1011.5,
2023-10-26 00:00:00,29.6,25.7,33.6,0,,,6.9,,1011.3,
2023-10-27 00:00:00,28.8,27,33.8,0.9,,,7,,1010.9,
2023-10-28 00:00:00,29.6,26,34,1.3,,,7.6,,1010.6,
2023-10-29 00:00:00,29.6,25.8,33.5,0.9,,,8.4,,1010.8,
2023-10-30 00:00:00,29.9,25.4,34.3,0.2,,,9.5,,1010.7,
2023-10-31 00:00:00,29.9,26.3,34,0,,,11.7,,1011.2,
2023-11-01 00:00:00,27.1,26,30,9.3,,,9.3,,1011,
2023-11-02 00:00:00,28.7,25.5,32.1,10.7,,,7.5,,1010.2,
2023-11-03 00:00:00,30.3,26.6,34.5,0.2,,,6.7,,1009.2,
2023-11-04 00:00:00,30.4,26.9,34.2,2.9,,,6.3,,1009.5,
2023-11-05 00:00:00,30.2,26.6,34.7,0.2,,,6.6,,1010.8,
2023-11-06 00:00:00,30.6,27,34.8,0.9,,,8.9,,1011,
2023-11-07 00:00:00,29.3,26.5,33,0.8,,,8.2,,1011.3,
2023-11-08 00:00:00,28.9,25.6,32.4,1.5,,,7.3,,1010.9,
2023-11-09 00:00:00,30,27,35,0,,,7.5,,1011.4,
2023-11-10 00:00:00,30.1,26.3,34.1,0,,,9.6,,1012.4,
2023-11-11 00:00:00,28.8,26.8,32.3,0,,,6.9,,1012.1,
2023-11-12 00:00:00,29.4,26.1,33.7,0,,,8.7,,1012.6,
2023-11-13 00:00:00,28.5,26.9,32.1,0,,,7.3,,1013,
2023-11-14 00:00:00,29.3,26.2,34.3,1.5,,,9.2,,1013.3,
2023-11-15 00:00:00,27.2,26,30,0,,,6.5,,1013.7,
2023-11-16 00:00:00,29.1,25.1,34.4,1,,,9.1,,1014.1,
2023-11-17 00:00:00,28.8,25.3,33,0,,,10,,1013.1,
2023-11-18 00:00:00,28.8,25.5,32.4,0,,,8,,1012.3,
2023-11-19 00:00:00,27.8,26.6,32.4,0,,,9.2,,1011.8,
2023-11-20 00:00:00,28.3,24.1,32.7,0,,,8,,1011.3,
2023-11-21 00:00:00,28,24.7,32.2,0,,,7.3,,1010.6,
2023-11-22 00:00:00,28.5,24.7,32.3,0,,,7.7,,1010.2,
2023-11-23 00:00:00,28.6,25.7,32.2,0.9,,,6,,1009.9,
2023-11-24 00:00:00,28.5,19,33.2,1,,,6.7,,1010.8,
2023-11-25 00:00:00,25.9,24,30.3,0,,,9.1,,1011.9,
2023-11-26 00:00:00,27.5,23.7,31,0.4,,,5.7,,1011.2,
2023-11-27 00:00:00,29.4,24.5,33.7,0.4,,,7,,1010.4,
2023-11-28 00:00:00,29.2,27,33.4,0,,,8.6,,1011.2,
2023-11-29 00:00:00,29.8,26.1,34,2,,,7.8,,1012,
2023-11-30 00:00:00,29.9,26.8,34.7,0,,,10,,1012,
2023-12-01 00:00:00,29.6,27,33.6,0,,,10.5,,1011.7,
2023-12-02 00:00:00,29.5,27,34.1,0,,,9.4,,1011.9,
2023-12-03 00:00:00,27.2,25,31,0.2,,,7.9,,1012.7,
2023-12-04 00:00:00,29.7,24.9,34,0,,,9.2,,1011,
2023-12-05 00:00:00,29.7,26.8,33,0.3,,,8.1,,1010.4,
2023-12-06 00:00:00,29.7,26.4,33.8,7.6,,,7.4,,1011.2,
2023-12-07 00:00:00,28.9,27,33,0.5,,,8.7,,1010.7,
2023-12-08 00:00:00,29.3,25.5,33.5,0,,,9.7,,1011.1,
2023-12-09 00:00:00,29.3,25.1,33.8,0,,,9.9,,1011.3,
2023-12-10 00:00:00,28.6,25.3,34.6,0,,,9.4,,1010.6,
2023-12-11 00:00:00,28.5,25.1,31.2,0.3,,,6.5,,1011.3,
2023-12-12 00:00:00,29.5,25.1,33.4,0,,,8.4,,1011.3,
2023-12-13 00:00:00,29.1,26.4,34.1,0.1,,,9.4,,1012.7,
2023-12-14 00:00:00,28.4,25.2,33,0,,,10.7,,1013.3,
2023-12-15 00:00:00,26.5,25,30.5,1.5,,,6.4,,1012.6,
2023-12-16 00:00:00,27.5,23,32,10.9,,,8.5,,1012.6,
2023-12-17 00:00:00,28.6,25,32.9,0,,,10.9,,1012.8,
2023-12-18 00:00:00,27.1,25,31.9,0.5,,,8.5,,1012.5,
2023-12-19 00:00:00,28.4,25.2,31.4,2.5,,,6.6,,1011.9,
2023-12-20 00:00:00,29.2,26.5,33.1,0,,,8.4,,1011.2,
2023-12-21 00:00:00,27.8,26.3,30.7,0,,,5.9,,1011.7,
2023-12-22 00:00:00,26.6,24,29.2,21.6,,,8.8,,1014.4,
2023-12-23 00:00:00,27.4,24,30.7,1.5,,,10.3,,1015.7,
2023-12-24 00:00:00,27.8,25.2,31.9,0,,,8,,1015.2,
2023-12-25 00:00:00,28.3,25.4,32.5,0,,,7.6,,1014.2,
2023-12-26 00:00:00,27.3,25.9,30.7,0.1,,,7.8,,1014.9,
2023-12-27 00:00:00,27.8,24.9,32,0,,,6.2,,1015.9,
2023-12-28 00:00:00,27.8,25.6,32.1,0,,,8.1,,1014.8,
2023-12-29 00:00:00,28.3,24.7,33,0.2,,,8.2,,1013.2,
2023-12-30 00:00:00,28.7,25.3,33.1,0.1,,,7.3,,1011.6,
2023-12-31 00:00:00,29.2,25.8,33,0,,,9,,1011.8,
2024-01-01 00:00:00,28.7,25.2,33,0.7,,,8.7,,1011.4,
2024-01-02 00:00:00,28.3,26,32,1.1,,,8.4,,1010.9,
2024-01-03 00:00:00,29,25.6,32.9,1.7,,,6.3,,1010.9,
2024-01-04 00:00:00,28.7,26.9,33.5,0,,,8.8,,1011.6,
2024-01-05 00:00:00,28.1,26,32,0,,,8.7,,1013.2,
2024-01-06 00:00:00,28.6,24.7,32,0,,,7.8,,1013.3,
2024-01-07 00:00:00,27.9,26.4,32.2,0,,,11.2,,1013.7,
2024-01-08 00:00:00,28.4,24.4,32.3,0,,,8.5,,1013,
2024-01-09 00:00:00,28.2,25.3,32,0.5,,,7.5,,1012.1,
2024-01-10 00:00:00,28.8,25.8,32.2,0,,,7.1,,1011,
2024-01-11 00:00:00,27.6,26,31.5,0,,,10.8,,1011.8,
2024-01-12 00:00:00,27.2,24.6,30.7,0,,,10,,1012.1,
2024-01-13 00:00:00,27.3,25,30.9,0,,,12.6,,1012.9,
2024-01-14 00:00:00,27.6,24.8,31.5,0,,,9.3,,1014.1,
2024-01-15 00:00:00,27.4,24.2,31.9,0,,,9.3,,1013.6,
2024-01-16 00:00:00,27.6,25,31.6,0,,,13.6,,1013.8,
2024-01-17 00:00:00,26.4,24.8,31,0,,,14.9,,1014,
2024-01-18 00:00:00,27.3,22.2,31.1,0,,,8.1,,1012.7,
2024-01-19 00:00:00,27.5,25,31.7,0,,,7.8,,1011.7,
2024-01-20 00:00:00,26.8,24,30,1.9,,,6.1,,1011.7,
2024-01-21 00:00:00,28.4,24.4,32.7,0,,,6.9,,1013.2,
2024-01-22 00:00:00,27.4,26,31.4,0.7,,,7.4,,1013.5,
2024-01-23 00:00:00,27.8,24.9,32.1,0,,,8.6,,1014.3,
2024-01-24 00:00:00,27.1,25,31.2,0.5,,,9.2,,1015.6,
2024-01-25 00:00:00,26.1,24,30.4,0,,,9.5,,1018.1,
2024-01-26 00:00:00,25.6,23,29.5,0,,,8.6,,1018.5,
2024-01-27 00:00:00,26.3,21.7,31.1,0,,,11.2,,1017.9,
2024-01-28 00:00:00,25.8,22.5,29.7,0,,,12,,1018,
2024-01-29 00:00:00,26.9,22.5,31.3,0,,,11.6,,1017.9,
2024-01-30 00:00:00,27,24,31.7,0,,,10.5,,1016.9,
2024-01-31 00:00:00,26.9,23,30.7,0,,,10.6,,1015.9,
2024-02-01 00:00:00,27.7,23.7,32.3,0,,,9.5,,1015.2,
2024-02-02 00:00:00,27.3,25,32.2,0,,,10.3,,1014.8,
2024-02-03 00:00:00,28.6,23.2,33,0,,,11.6,,1014.6,
2024-02-04 00:00:00,28.8,26,33.1,0,,,12.9,,1014.7,
2024-02-05 00:00:00,28.3,24.4,33.2,0,,,11.2,,1015.1,
2024-02-06 00:00:00,28.4,24.9,34.3,0,,,8.2,,1015.1,
2024-02-07 00:00:00,28.3,23.1,32.3,0,,,11.2,,1013.6,
2024-02-08 00:00:00,28.7,24.9,33.2,0,,,8.5,,1012.6,
2024-02-09 00:00:00,28.1,25.2,33,1.2,,,7.7,,1014.7,
2024-02-10 00:00:00,27.4,24.7,32,1.1,,,8.7,,1016.8,
2024-02-11 00:00:00,28.1,23.4,32.5,0,,,11.5,,1017.7,
2024-02-12 00:00:00,26.9,24.9,31.7,0,,,12.8,,1018.3,
2024-02-13 00:00:00,27.8,23.3,32.3,0,,,10.3,,1017.6,
2024-02-14 00:00:00,28.3,24.9,32.8,0,,,12,,1015.7,
2024-02-15 00:00:00,28.9,24.6,33.8,0,,,9.7,,1014.9,
2024-02-16 00:00:00,28.3,25.5,32.5,0,,,10.6,,1014.7,
2024-02-17 00:00:00,27.5,24,32.1,0,,,12.7,,1013.9,
2024-02-18 00:00:00,28.4,23.6,33.1,0,,,9.7,,1014.6,
2024-02-19 00:00:00,28.5,24.6,33,0,,,11.5,,1015,
2024-02-20 00:00:00,28.7,23.9,32.8,0,,,12.5,,1014.8,
2024-02-21 00:00:00,28.7,25.7,33,0,,,12,,1014.3,
2024-02-22 00:00:00,29,24.1,33.5,0,,,12.7,,1014.3,
2024-02-23 00:00:00,28.6,24.9,32.6,0,,,11,,1014.4,
2024-02-24 00:00:00,29.3,26,34,0.2,,,10.3,,1014.4,
2024-02-25 00:00:00,27.9,25.8,32.4,0,,,11.9,,1013.5,
2024-02-26 00:00:00,28.1,25,33.8,0,,,15.9,,1014.4,
2024-02-27 00:00:00,27.8,23,33,0,,,14.5,,1014.7,
2024-02-28 00:00:00,28,22.9,32.9,0,,,14.7,,1014.1,
2024-02-29 00:00:00,28.6,22.8,33.2,0,,,12.2,,1013.7,
2024-03-01 00:00:00,28.8,24,33.6,0,,,10.6,,1013.2,
2024-03-02 00:00:00,28.1,23.8,32.5,0,,,11.3,,1013,
2024-03-03 00:00:00,28.6,23.2,32.9,0,,,12.2,,1013.1,
2024-03-04 00:00:00,28.8,25.4,33,0,,,12.1,,1012.2,
2024-03-05 00:00:00,28.7,26.7,33.9,0,,,11.4,,1010.8,
2024-03-06 00:00:00,30.1,23.4,36,0,,,8.1,,1010.1,
2024-03-07 00:00:00,29.5,25.9,34.2,0,,,10.3,,1010.8,
2024-03-08 00:00:00,29,26,33.1,0,,,12,,1011.5,
2024-03-09 00:00:00,27.9,25.9,32.1,0,,,11.7,,1012.7,
2024-03-10 00:00:00,28.6,26,33.1,0.7,,,12.3,,1014.6,
2024-03-11 00:00:00,28.5,25,32.3,0.1,,,7.7,,1014.8,
2024-03-12 00:00:00,29.1,25.5,32.7,0,,,8.9,,1013.1,
2024-03-13 00:00:00,28.9,27,33.1,0,,,13.7,,1013.6,
2024-03-14 00:00:00,28.8,26,33.9,0.3,,,11.6,,1013.7,
2024-03-15 00:00:00,27.9,25.8,31,0,,,9.7,,1014.2,
2024-03-16 00:00:00,29.2,26,34,0,,,12.7,,1014.5,
2024-03-17 00:00:00,28.9,26,33.3,0.4,,,11.4,,1013.4,
2024-03-18 00:00:00,28.7,26,34,1,,,11.2,,1012.2,
2024-03-19 00:00:00,29.1,24.2,33.6,3.4,,,9.1,,1013.2,
2024-03-20 00:00:00,28.6,25.3,33.1,3.7,,,11.7,,1014,
2024-03-21 00:00:00,27.2,23.5,31.1,0,,,10.6,,1013,
2024-03-22 00:00:00,27.7,23.3,31.5,0,,,12,,1012.3,
2024-03-23 00:00:00,28.7,25.2,33.7,0,,,13.1,,1013.3,
2024-03-24 00:00:00,29.9,25.4,34.3,0,,,14.5,,1013.9,
2024-03-25 00:00:00,30,26.8,34,0,,,14.1,,1013.4,
